                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.82342,                0.63274,                 1.1333,                0.82102,                0.83954,                0.81441,                0.52315,                0.85544,                0.69056,                 1.1903,              0.0011059,              0.0011059,              0.0011059
                     36,                0.82169,                0.62101,                 1.1276,                0.84186,                 0.8008,                0.79615,                0.54049,                 0.8275,                0.71875,                  1.171,              0.0010894,              0.0010894,              0.0010894
                     37,                0.80056,                0.60678,                 1.1237,                0.88347,                0.82545,                0.87015,                0.60136,                 0.7664,                0.71405,                 1.1179,              0.0010729,              0.0010729,              0.0010729
                     38,                0.82491,                0.62702,                 1.1376,                0.82849,                0.86821,                0.87691,                0.56185,                0.85253,                0.71607,                 1.1867,              0.0010564,              0.0010564,              0.0010564
                     39,                0.82005,                0.60623,                 1.1376,                0.84394,                0.83089,                0.85344,                0.52654,                0.89015,                0.71923,                 1.1862,              0.0010399,              0.0010399,              0.0010399
                     40,                0.78992,                0.56839,                 1.1107,                0.83381,                0.86259,                0.87156,                0.57996,                0.81703,                0.63489,                  1.153,              0.0010234,              0.0010234,              0.0010234
                     41,                0.79174,                  0.564,                 1.1031,                0.86707,                0.75402,                0.81065,                0.49736,                0.87277,                0.66963,                   1.16,              0.0010069,              0.0010069,              0.0010069
                     42,                0.76165,                0.55389,                  1.094,                0.78025,                 0.8003,                0.76621,                0.52024,                0.76755,                0.75783,                 1.1022,             0.00099036,             0.00099036,             0.00099036
                     43,                0.78038,                 0.5817,                 1.1041,                0.85696,                0.82051,                0.82661,                0.54867,                 0.8162,                0.66021,                 1.1293,             0.00097386,             0.00097386,             0.00097386
                     44,                0.78029,                0.57585,                 1.1018,                0.79882,                0.87525,                0.82823,                0.53216,                0.80449,                0.63995,                 1.1579,             0.00095736,             0.00095736,             0.00095736
                     45,                0.79255,                0.56494,                 1.1055,                0.80489,                0.81034,                  0.831,                0.54475,                0.80146,                0.65041,                 1.1238,             0.00094085,             0.00094085,             0.00094085
                     46,                0.77906,                0.56316,                 1.1017,                0.79595,                0.82604,                0.82564,                0.54307,                0.77905,                0.62939,                 1.1349,             0.00092435,             0.00092435,             0.00092435
                     47,                0.78197,                0.55239,                 1.1062,                 0.8683,                0.86625,                0.86906,                0.58828,                0.74833,                0.66862,                 1.1039,             0.00090785,             0.00090785,             0.00090785
                     48,                 0.7736,                0.56562,                 1.0998,                0.89777,                0.81585,                0.86371,                0.56091,                 0.8236,                0.63003,                  1.158,             0.00089134,             0.00089134,             0.00089134
                     49,                0.75933,                0.54256,                 1.1006,                 0.8619,                0.89811,                0.88949,                0.56657,                0.88477,                0.63808,                   1.17,             0.00087484,             0.00087484,             0.00087484
                     50,                0.75113,                0.52623,                 1.0893,                0.93202,                0.81653,                0.84438,                0.55824,                0.75104,                0.62592,                 1.0936,             0.00085834,             0.00085834,             0.00085834
                     51,                0.74455,                0.53352,                 1.0867,                0.86561,                0.83602,                0.84841,                0.57577,                0.71884,                0.60647,                 1.0822,             0.00084184,             0.00084184,             0.00084184
                     52,                0.76447,                0.54551,                 1.0983,                0.88682,                0.85837,                0.88331,                 0.5875,                0.78895,                0.62243,                 1.1046,             0.00082533,             0.00082533,             0.00082533
                     53,                0.75882,                0.55141,                 1.0956,                0.86609,                0.82897,                0.87191,                0.58938,                 0.7293,                0.61879,                 1.0896,             0.00080883,             0.00080883,             0.00080883
                     54,                0.74384,                0.54163,                  1.091,                0.90453,                0.83602,                0.86601,                0.58191,                0.79159,                0.61525,                 1.1266,             0.00079233,             0.00079233,             0.00079233
